unix_seconds;fish_swam_past
1666449556.4500372;8550.0
1666449592.4500372;8625.0
1666449628.4500372;8700.0
1666449664.4500372;8775.0
1666449700.4500372;8850.0
1666449736.4500372;8925.0
1666449772.4500372;9000.0
1666449808.4500372;9075.0
1666449844.4500372;9150.0
1666449880.4500372;9225.0
1666449916.4500372;9300.0
1666449952.4500372;9375.0
1666449988.4500372;9450.0
1666450024.4500372;9525.0
1666450060.4500372;9600.0
1666450096.4500372;9675.0
1666450132.4500372;9750.0
1666450168.4500372;9825.0
1666450204.4500372;9900.0
1666450240.4500372;9975.0
1666450276.4500372;10050.0
1666450312.4500372;10125.0
1666450348.4500372;10200.0
1666450384.4500372;10275.0
1666450420.4500372;10350.0
1666450456.4500372;10425.0
1666450492.4500372;10500.0
1666450528.4500372;10575.0
1666450564.4500372;10650.0
1666450600.4500372;10725.0
1666450636.4500372;10800.0
1666450672.4500372;10875.0
1666450708.4500372;10950.0
1666450744.4500372;11025.0
1666450780.4500372;11100.0
1666450816.4500372;11175.0
1666450852.4500375;11250.0
1666450888.4500375;11325.0
1666450924.4500375;11400.0
1666450960.4500375;11475.0
1666450996.4500375;11550.0
1666451032.4500375;11625.0
1666451068.4500375;11700.0
1666451104.4500375;11775.0
1666451140.4500375;11850.0
1666451176.4500375;11925.0
1666451212.4500375;12000.0
1666451248.4500375;12075.0
1666451284.4500375;12150.0
1666451320.4500375;12225.0
1666451356.4500375;12300.0
1666451392.4500375;12375.0
1666451428.4500375;12450.0
1666451464.4500375;12525.0
1666451500.4500375;12600.0
1666451536.4500375;12675.0
1666451572.4500375;12750.0
1666451608.4500375;12825.0
1666451644.4500375;12900.0
1666451680.4500375;12975.0
1666451716.4500375;13050.0
1666451752.4500375;13125.0
1666451788.4500375;13200.0
1666451824.4500375;13275.0
1666451860.4500375;13350.0
1666451896.4500375;13425.0
1666451932.4500375;13500.0
1666451968.4500375;13575.0
1666452004.4500375;13650.0
1666452040.4500375;13725.0
1666452076.4500375;13800.0
1666452112.4500375;13875.0
1666452148.4500375;13950.0
1666452184.4500375;14025.0
1666452220.4500375;14100.0
1666452256.4500375;14175.0
1666452292.4500375;14250.0
1666452328.4500375;14325.0
1666452364.4500375;14400.0
1666452400.4500375;14475.0
1666452436.4500375;14550.0
1666452472.4500375;14625.0
1666452508.4500375;14700.0
1666452544.4500375;14775.0
1666452580.4500375;14850.0
1666452616.4500375;14925.0
1666452652.4500375;15000.0
1666452688.4500375;15074.999999999998
1666452724.4500375;15150.0
1666452760.4500375;15224.999999999998
1666452796.4500375;15300.0
1666452832.4500375;15374.999999999998
1666452868.4500375;15450.0
1666452904.4500375;15524.999999999998
1666452940.4500375;15600.0
1666452976.4500375;15674.999999999998
1666453012.4500375;15750.0
1666453048.4500375;15824.999999999998
1666453084.4500375;15900.0
1666453120.4500375;15975.0
1666453156.4500375;16050.000000000002
1666453192.4500375;16125.0
1666453228.4500375;16200.000000000002
1666453264.4500375;16275.0
1666453300.4500375;16350.000000000002
1666453336.4500375;16425.0
1666453372.4500375;16500.0
1666453408.4500375;16575.0
1666453444.4500375;16650.0
1666453480.4500375;16725.0
1666453516.4500375;16800.0
1666453552.4500375;16875.0
1666453588.4500375;16950.0
1666453624.4500375;17025.0
1666453660.4500375;17100.0
1666453696.4500375;17175.0
1666453732.4500375;17250.0
1666453768.4500375;17325.0
1666453804.4500375;17400.0
1666453840.4500375;17475.0
1666453876.4500375;17550.0
1666453912.4500375;17625.0
1666453948.4500375;17700.0
1666453984.4500375;17775.0
1666454020.4500375;17850.0
1666454056.4500375;17925.0
1666454092.4500375;18000.0
1666454128.4500375;18075.0
1666454164.4500375;18150.0
1666454200.4500375;18225.0
1666454236.4500375;18300.0
1666454272.4500375;18375.0
1666454308.4500375;18450.0
1666454344.4500375;18525.0
1666454380.4500375;18600.0
1666454416.4500375;18675.0
1666454452.4500375;18750.0
1666454488.4500377;18825.0
1666454524.4500377;18900.0
1666454560.4500377;18975.0
1666454596.4500377;19050.0
1666454632.4500377;19125.0
1666454668.4500377;19200.0
1666454704.4500377;19275.0
1666454740.4500377;19350.0
1666454776.4500377;19425.0
1666454812.4500377;19500.0
1666454848.4500377;19575.0
1666454884.4500377;19650.0
1666454920.4500377;19725.0
1666454956.4500377;19800.0
1666454992.4500377;19875.0
1666455028.4500377;19950.0
1666455064.4500377;20025.0
1666455100.4500377;20100.0
1666455136.4500377;20175.0
1666455172.4500377;20250.0
1666455208.4500377;20325.0
1666455244.4500377;20400.0
1666455280.4500377;20475.0
1666455316.4500377;20550.0
1666455352.4500377;20625.0
1666455388.4500377;20700.0
1666455424.4500377;20775.0
1666455460.4500377;20850.0
1666455496.4500377;20925.0
1666455532.4500377;21000.0
1666455568.4500377;21075.0
1666455604.4500377;21150.0
1666455640.4500377;21225.0
1666455676.4500377;21300.0
1666455712.4500377;21375.0
1666455748.4500377;21450.0
1666455784.4500377;21525.0
1666455820.4500377;21600.0
1666455856.4500377;21675.0
1666455892.4500377;21750.0
1666455928.4500377;21825.0
1666455964.4500377;21900.0
1666456000.4500377;21975.0
1666456036.4500377;22050.0
1666456072.4500377;22125.0
1666456108.4500377;22200.0
1666456144.4500377;22275.0
1666456180.4500377;22350.0
1666456216.4500377;22425.0
1666456252.4500377;22500.0
1666456288.4500377;22575.0
1666456324.4500377;22650.0
1666456360.4500377;22725.0
1666456396.4500377;22800.0
1666456432.4500377;22875.0
1666456468.4500377;22950.0
1666456504.4500377;23025.0
1666456540.4500377;23100.0
1666456576.4500377;23175.0
1666456612.4500377;23250.0
1666456648.4500377;23325.0
1666456684.4500377;23400.0
1666456720.4500377;23475.0
1666456756.4500377;23550.0
1666456792.4500377;23625.0
1666456828.4500377;23700.0
1666456864.4500377;23775.0
1666456900.4500377;23850.0
1666456936.4500377;23925.0
1666456972.4500377;24000.0
1666457008.4500377;24075.0
1666457044.4500377;24150.0
1666457080.4500377;24225.0
1666457116.4500377;24300.0
1666457152.4500377;24375.0
1666457188.4500377;24450.0
1666457224.4500377;24525.0
1666457260.4500377;24600.0
1666457296.4500377;24675.0
1666457332.4500377;24750.0
1666457368.4500377;24825.0
1666457404.4500377;24900.0
1666457440.4500377;24975.0
1666457476.4500377;25050.0
1666457512.4500377;25125.0
1666457548.4500377;25200.0
1666457584.4500377;25275.0
1666457620.4500377;25350.0
1666457656.4500377;25425.0
1666457692.4500377;25500.0
1666457728.4500377;25575.0
1666457764.4500377;25650.0
1666457800.4500377;25725.0
1666457836.4500377;25800.0
1666457872.4500377;25875.0
1666457908.4500377;25950.0
1666457944.4500377;26025.0
1666457980.4500377;26100.0
1666458016.4500377;26175.0
1666458052.450038;26250.0
1666458088.450038;26325.0
1666458124.450038;26400.0
1666458160.450038;26475.0
1666458196.450038;26550.0
1666458232.450038;26625.0
1666458268.450038;26700.0
1666458304.450038;26775.0
1666458340.450038;26850.0
1666458376.450038;26925.0
1666458412.450038;27000.0
1666458448.450038;27075.0
1666458484.450038;27150.0
1666458520.450038;27225.0
1666458556.450038;27300.0
1666458592.450038;27375.0
1666458628.450038;27450.0
1666458664.450038;27525.0
1666458700.450038;27600.0
1666458736.450038;27675.0
1666458772.450038;27750.0
1666458808.450038;27825.0
1666458844.450038;27900.0
1666458880.450038;27975.0
1666458916.450038;28050.0
1666458952.450038;28125.0
1666458988.450038;28200.0
1666459024.450038;28275.0
1666459060.450038;28350.0
1666459096.450038;28425.0
1666459132.450038;28500.0
1666459168.450038;28575.0
1666459204.450038;28650.0
1666459240.450038;28725.0
1666459276.450038;28800.0
1666459312.450038;28875.0
1666459348.450038;28950.0
1666459384.450038;29025.0
1666459420.450038;29100.0
1666459456.450038;29175.0
1666459492.450038;29250.0
1666459528.450038;29325.0
1666459564.450038;29400.0
1666459600.450038;29475.0
1666459636.450038;29550.0
1666459672.450038;29625.0
1666459708.450038;29700.0
1666459744.450038;29775.0
1666459780.450038;29850.0
1666459816.450038;29925.0
1666459852.450038;30000.0
